model | Swap | player | real | adversaire | user | m_true | 5 | f_true | 15 | m_false | 14 | f_false | 6 | male_precision | 0.68 | male_recall | 0.79 | male_f1 | 0.73 | female_precision | 0.81 | female_recall | 0.78 | female_f1 | 0.79 | accuracy | 0.77 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | user | m_true | 7 | f_true | 13 | m_false | 15 | f_false | 5 | male_precision | 0.71 | male_recall | 0.77 | male_f1 | 0.74 | female_precision | 0.84 | female_recall | 0.76 | female_f1 | 0.8 | accuracy | 0.78 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | user | m_true | 9 | f_true | 11 | m_false | 13 | f_false | 7 | male_precision | 0.76 | male_recall | 0.76 | male_f1 | 0.76 | female_precision | 0.8 | female_recall | 0.79 | female_f1 | 0.79 | accuracy | 0.79 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | user | m_true | 4 | f_true | 16 | m_false | 16 | f_false | 4 | male_precision | 0.69 | male_recall | 0.78 | male_f1 | 0.73 | female_precision | 0.82 | female_recall | 0.77 | female_f1 | 0.79 | accuracy | 0.78 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | user | m_true | 8 | f_true | 12 | m_false | 17 | f_false | 3 | male_precision | 0.77 | male_recall | 0.75 | male_f1 | 0.76 | female_precision | 0.79 | female_recall | 0.79 | female_f1 | 0.79 | accuracy | 0.79 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | user | m_true | 3 | f_true | 17 | m_false | 18 | f_false | 2 | male_precision | 0.7 | male_recall | 0.76 | male_f1 | 0.73 | female_precision | 0.78 | female_recall | 0.79 | female_f1 | 0.78 | accuracy | 0.78 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | user | m_true | 6 | f_true | 14 | m_false | 19 | f_false | 1 | male_precision | 0.75 | male_recall | 0.77 | male_f1 | 0.76 | female_precision | 0.77 | female_recall | 0.79 | female_f1 | 0.78 | accuracy | 0.79 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | user | m_true | 10 | f_true | 10 | m_false | 20 | f_false | 0 | male_precision | 0.79 | male_recall | 0.74 | male_f1 | 0.76 | female_precision | 0.76 | female_recall | 0.79 | female_f1 | 0.77 | accuracy | 0.78 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | user | m_true | 2 | f_true | 18 | m_false | 20 | f_false | 0 | male_precision | 0.72 | male_recall | 0.76 | male_f1 | 0.74 | female_precision | 0.76 | female_recall | 0.79 | female_f1 | 0.77 | accuracy | 0.78 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | user | m_true | 12 | f_true | 8 | m_false | 21 | f_false | 0 | male_precision | 0.78 | male_recall | 0.73 | male_f1 | 0.76 | female_precision | 0.75 | female_recall | 0.79 | female_f1 | 0.77 | accuracy | 0.78 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | user | m_true | 6 | f_true | 14 | m_false | 18 | f_false | 2 | male_precision | 0.75 | male_recall | 0.77 | male_f1 | 0.76 | female_precision | 0.77 | female_recall | 0.79 | female_f1 | 0.78 | accuracy | 0.79 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
